DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;12449
A.1B (Ferrandiz): consumo electrico general;34580
A.1C (Carbonell): consumo electrico general;48868
A.1D (Deportes): consumo electrico general;29063
Consumo electrico del edificio V.5Q;4215
Consumo electrico general;22908
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;712022
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;93835
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;30618
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;4587
Consumo electrico general de los edificios V.1A, V.1B y V.1D;55174
Consumo electrico general de los edificios V.1E y V.1H;23681
Consumo electrico general de los edificios V.2E y V.3A;41699
Consumo electrico general de los edificios V.5C y V.5D;32480
Consumo electrico general de los edificios V.7I y V.7J;79820
Consumo electrico general del campo de futbol;3166
Consumo electrico general del edificio V.1C;13803
Consumo electrico general del edificio V.1F;39685
Consumo electrico general del edificio V.1G;64823
Consumo electrico general del edificio V.2A;9722
Consumo electrico general del edificio V.2B;13792
Consumo electrico general del edificio V.2C;10773
Consumo electrico general del edificio V.2D;11636
Consumo electrico general del edificio V.2F;40234
Consumo electrico general del edificio V.3B;4152
Consumo electrico general del edificio V.3F;21167
Consumo electrico general del edificio V.3M;15577
Consumo electrico general del edificio V.3N;103737
Consumo electrico general del edificio V.3P;60493
Consumo electrico general del edificio V.4D;28232
Consumo electrico general del edificio V.4F;1929
Consumo electrico general del edificio V.4G;14193
Consumo electrico general del edificio V.4I;4845
Consumo electrico general del edificio V.4K;32457
Consumo electrico general del edificio V.4L;199639
Consumo electrico general del edificio V.4P;18460
Consumo electrico general del edificio V.4Q;18361
Consumo electrico general del edificio V.5E;36948
Consumo electrico general del edificio V.5G;2876
Consumo electrico general del edificio V.5I;5300
Consumo electrico general del edificio V.5K;8591
Consumo electrico general del edificio V.5L;7005
Consumo electrico general del edificio V.5M;29752
Consumo electrico general del edificio V.5N;18407
Consumo electrico general del edificio V.5O;6399
Consumo electrico general del edificio V.5P;14612
Consumo electrico general del edificio V.5R;5799
Consumo electrico general del edificio V.5S;3407
Consumo electrico general del edificio V.6A;11927
Consumo electrico general del edificio V.6C;150071
Consumo electrico general del edificio V.6D;61366
Consumo electrico general del edificio V.6E;3411
Consumo electrico general del edificio V.6F;30760
Consumo electrico general del edificio V.6G;39728
Consumo electrico general del edificio V.7A;12980
Consumo electrico general del edificio V.7C;12561
Consumo electrico general del edificio V.7D;11046
Consumo electrico general del edificio V.7F;10379
Consumo electrico general del edificio V.7G;24852
Consumo electrico general del edificio V.7H;42609
Consumo electrico general del edificio V.8A;1018
Consumo electrico general del edificio V.8C;9324
Consumo electrico general del edificio V.8D;26022
Consumo electrico general del edificio V.8F;196622
Consumo electrico general del edificio V.8H;8612
Consumo electrico general del edificio V.8I y V.8J;137922
Consumo electrico general del edificio V.8K;4693
Consumo electrico general del edificio V.8N;2463
Consumo electrico general del edificio V.8P;32553
Consumo electrico general del edificio V.9A;3693
Consumo electrico general del edificio V.9B;12528
Consumo electrico general del edificio V.9C;60330
Consumo electrico general del edificio V.9D;18106
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;35279
G.1A: consumo electrico general del edificio;22608
G.1B: consumo electrico general del edificio;13550
G.1C: consumo electrico general del edificio;66403
G.1D: consumo electrico general del edificio;6396
G.1E: consumo electrico general del edificio;7736
G.1F: consumo electrico general del edificio;5713
G.1G: consumo electrico general del edificio;4986
G.1H: consumo electrico general del edificio;19158
IIE (prefabricado): consumo electrico general;74
V.4N (ICITECH): consumo electrico general;4427